,lon,lat,forestcoverfraction
258,70.25,13.25,
259,70.25,13.75,
260,70.25,14.25,
261,70.25,14.75,
262,70.25,15.25,
263,70.25,15.75,
264,70.25,16.25,
265,70.25,16.75,
266,70.25,17.25,
267,70.25,17.75,
268,70.25,18.25,
269,70.25,18.75,
270,70.25,19.25,
271,70.25,19.75,
272,70.25,20.25,
273,70.25,20.75,7.0
274,70.25,21.25,7.0
275,70.25,21.75,7.0
276,70.25,22.25,7.0
277,70.25,22.75,6.0
278,70.25,23.25,1.0
279,70.25,23.75,1.0
280,70.25,24.25,1.0
281,70.25,24.75,0.0
282,70.25,25.25,0.0
283,70.25,25.75,0.0
284,70.25,26.25,0.0
285,70.25,26.75,0.0
286,70.25,27.25,0.0
287,70.25,27.75,0.0
288,70.25,28.25,3.0
289,70.25,28.75,4.0
290,70.25,29.25,2.0
291,70.25,29.75,1.0
292,70.25,30.25,0.0
293,70.25,30.75,0.0
294,70.25,31.25,1.0
295,70.25,31.75,0.0
296,70.25,32.25,0.0
297,70.25,32.75,1.0
298,70.25,33.25,0.0
299,70.25,33.75,7.0
300,70.25,34.25,2.0
301,70.25,34.75,4.0
302,70.25,35.25,4.0
303,70.25,35.75,1.0
304,70.25,36.25,1.0
305,70.75,6.25,
306,70.75,6.75,
307,70.75,7.25,
308,70.75,7.75,
309,70.75,8.25,
310,70.75,8.75,
311,70.75,9.25,
312,70.75,9.75,
313,70.75,10.25,
314,70.75,10.75,
315,70.75,11.25,
316,70.75,11.75,
317,70.75,12.25,
318,70.75,12.75,
319,70.75,13.25,
320,70.75,13.75,
321,70.75,14.25,
322,70.75,14.75,
323,70.75,15.25,
324,70.75,15.75,
325,70.75,16.25,
326,70.75,16.75,
327,70.75,17.25,
328,70.75,17.75,
329,70.75,18.25,
330,70.75,18.75,
331,70.75,19.25,
332,70.75,19.75,
333,70.75,20.25,
334,70.75,20.75,6.0
335,70.75,21.25,6.0
336,70.75,21.75,8.0
337,70.75,22.25,8.0
338,70.75,22.75,6.0
339,70.75,23.25,1.0
340,70.75,23.75,1.0
341,70.75,24.25,1.0
342,70.75,24.75,1.0
343,70.75,25.25,0.0
344,70.75,25.75,0.0
345,70.75,26.25,0.0
346,70.75,26.75,0.0
347,70.75,27.25,0.0
348,70.75,27.75,0.0
349,70.75,28.25,0.0
350,70.75,28.75,4.0
351,70.75,29.25,4.0
352,70.75,29.75,5.0
353,70.75,30.25,4.0
354,70.75,30.75,2.0
355,70.75,31.25,2.0
356,70.75,31.75,1.0
357,70.75,32.25,0.0
358,70.75,32.75,1.0
359,70.75,33.25,2.0
360,70.75,33.75,13.0
361,70.75,34.25,1.0
362,70.75,34.75,11.0
363,70.75,35.25,9.0
364,70.75,35.75,1.0
365,70.75,36.25,1.0
366,71.25,6.25,
367,71.25,6.75,
368,71.25,7.25,
369,71.25,7.75,
370,71.25,8.25,
371,71.25,8.75,
372,71.25,9.25,
373,71.25,9.75,
374,71.25,10.25,
375,71.25,10.75,
376,71.25,11.25,
377,71.25,11.75,
378,71.25,12.25,
379,71.25,12.75,
380,71.25,13.25,
381,71.25,13.75,
382,71.25,14.25,
383,71.25,14.75,
384,71.25,15.25,
385,71.25,15.75,
