,lat,lon,forestcoverfraction,year_month,count,sum_frp
120,26.75,89.25,30,2011-12,2,60.0
121,26.75,89.25,30,2012-03,4,207.9
122,26.75,89.25,30,2012-12,1,70.4
123,26.75,89.25,30,2013-01,1,40.8
124,26.75,89.25,30,2013-02,1,32.5
125,26.75,89.25,30,2014-03,6,432.6
126,26.75,89.25,30,2015-01,1,16.0
127,26.75,89.25,30,2015-03,7,978.8
128,26.75,89.25,30,2016-01,2,48.0
129,26.75,89.25,30,2016-02,3,109.8
130,26.75,89.25,30,2016-03,4,100.5
131,26.75,89.25,30,2016-11,1,15.8
132,26.75,89.25,30,2016-12,1,14.4
133,26.75,89.25,30,2017-02,1,12.6
134,26.75,89.25,30,2017-03,1,24.0
135,26.75,89.25,30,2018-03,3,292.90000000000003
136,26.75,89.25,30,2020-03,1,44.4
137,26.75,89.25,30,2021-02,1,25.0
138,26.75,89.25,30,2023-01,2,48.5
139,26.75,89.25,30,2024-02,1,9.6
140,26.75,89.25,30,2024-03,10,563.1
141,26.25,89.75,11,2003-03,1,26.7
142,26.25,89.75,11,2005-02,2,46.3
143,26.25,89.75,11,2006-03,5,109.5
144,26.25,89.75,11,2007-02,1,14.8
145,26.25,89.75,11,2007-03,1,16.4
146,26.25,89.75,11,2010-02,1,19.6
147,26.25,89.75,11,2010-03,4,108.4
148,26.25,89.75,11,2011-03,3,53.7
149,26.25,89.75,11,2012-02,2,42.2
150,26.25,89.75,11,2012-03,4,95.4
151,26.25,89.75,11,2015-03,2,40.2
152,26.25,89.75,11,2020-04,2,29.7
153,26.75,89.75,46,2001-04,1,28.5
154,26.75,89.75,46,2003-01,1,13.4
155,26.75,89.75,46,2006-03,4,137.0
156,26.75,89.75,46,2006-04,2,46.0
157,26.75,89.75,46,2008-02,3,55.9
158,26.75,89.75,46,2009-03,3,99.2
159,26.75,89.75,46,2010-02,2,77.3
160,26.75,89.75,46,2010-03,2,153.7
161,26.75,89.75,46,2011-01,1,58.0
162,26.75,89.75,46,2012-03,7,272.0
163,26.75,89.75,46,2013-02,1,25.0
164,26.75,89.75,46,2013-04,2,124.6
165,26.75,89.75,46,2015-03,1,19.4
166,26.75,89.75,46,2016-03,1,16.1
167,26.75,89.75,46,2017-02,1,30.0
168,26.75,89.75,46,2017-03,1,23.3
169,26.75,89.75,46,2023-03,1,20.4
170,26.75,89.75,46,2024-01,2,44.3
171,26.75,89.75,46,2024-03,7,480.9
172,25.25,90.25,26,2003-03,98,17753.8
173,25.25,90.25,26,2003-04,10,950.5
174,25.25,90.25,26,2004-03,76,13869.4
175,25.25,90.25,26,2004-04,1,16.2
176,25.25,90.25,26,2005-03,59,9486.6
177,25.25,90.25,26,2005-04,12,622.8
178,25.25,90.25,26,2006-03,136,19487.9
179,25.25,90.25,26,2007-03,112,21588.6
180,25.25,90.25,26,2007-04,8,639.5
181,25.25,90.25,26,2008-03,33,3525.8
182,25.25,90.25,26,2008-04,11,858.5
183,25.25,90.25,26,2008-05,1,16.2
184,25.25,90.25,26,2009-02,1,20.6
185,25.25,90.25,26,2009-03,67,8321.4
186,25.25,90.25,26,2010-03,72,12610.2
187,25.25,90.25,26,2010-11,1,30.9
188,25.25,90.25,26,2011-03,53,10147.5
189,25.25,90.25,26,2011-04,10,538.1
190,25.25,90.25,26,2012-03,58,12502.5
191,25.25,90.25,26,2012-04,1,34.7
192,25.25,90.25,26,2012-05,1,18.1
193,25.25,90.25,26,2013-03,23,1529.5
194,25.25,90.25,26,2013-04,2,100.5
195,25.25,90.25,26,2014-03,82,10715.2
196,25.25,90.25,26,2014-04,2,113.4
197,25.25,90.25,26,2015-03,81,15063.5
198,25.25,90.25,26,2015-04,3,131.7
199,25.25,90.25,26,2016-03,29,3874.1
200,25.25,90.25,26,2016-04,1,18.3
201,25.25,90.25,26,2017-03,9,1981.3
202,25.25,90.25,26,2017-04,59,4693.2
203,25.25,90.25,26,2017-05,1,49.9
204,25.25,90.25,26,2018-03,65,8839.699999999999
205,25.25,90.25,26,2019-03,59,17356.100000000002
206,25.25,90.25,26,2020-03,35,3559.7999999999997
