field_1,lon,lat,forestcoverfraction
1436,79.75,22.75,11
1484,80.25,16.25,11
1485,80.25,16.75,12
1486,80.25,17.25,11
1487,80.25,17.75,16
1488,80.25,18.25,23
1489,80.25,18.75,22
1490,80.25,19.25,27
1491,80.25,19.75,24
1492,80.25,20.25,21
1493,80.25,20.75,20
1494,80.25,21.25,13
1495,80.25,21.75,14
1496,80.25,22.25,18
1497,80.25,22.75,13
1498,80.25,23.25,13
1544,80.75,15.75,14
1545,80.75,16.25,16
1546,80.75,16.75,13
1547,80.75,17.25,15
1548,80.75,17.75,19
1549,80.75,18.25,20
1550,80.75,18.75,26
1551,80.75,19.25,28
1552,80.75,19.75,27
1553,80.75,20.25,16
1555,80.75,21.25,14
1556,80.75,21.75,21
1557,80.75,22.25,22
1558,80.75,22.75,15
1559,80.75,23.25,13
1606,81.25,16.25,14
1607,81.25,16.75,14
1608,81.25,17.25,19
1609,81.25,17.75,23
1610,81.25,18.25,17
1611,81.25,18.75,18
1612,81.25,19.25,20
1613,81.25,19.75,16
1618,81.25,22.25,14
1619,81.25,22.75,16
1620,81.25,23.25,13
1667,81.75,16.25,18
1668,81.75,16.75,16
1669,81.75,17.25,19
1670,81.75,17.75,36
1671,81.75,18.25,12
1672,81.75,18.75,12
1679,81.75,22.25,14
1680,81.75,22.75,17
1682,81.75,23.75,16
1729,82.25,16.75,19
1730,82.25,17.25,22
1731,82.25,17.75,28
1732,82.25,18.25,18
1733,82.25,18.75,13
1736,82.25,20.25,16
1741,82.25,22.75,13
1743,82.25,23.75,25
1791,82.75,17.25,18
1792,82.75,17.75,18
1793,82.75,18.25,11
1802,82.75,22.75,16
1804,82.75,23.75,18
1853,83.25,17.75,12
1854,83.25,18.25,12
1855,83.25,18.75,15
1856,83.25,19.25,15
1857,83.25,19.75,17
1862,83.25,22.25,11
1863,83.25,22.75,12
1865,83.25,23.75,13
1916,83.75,18.75,16
1917,83.75,19.25,21
1918,83.75,19.75,27
1919,83.75,20.25,23
1922,83.75,21.75,12
1925,83.75,23.25,14
1926,83.75,23.75,15
1977,84.25,18.75,18
1978,84.25,19.25,21
1979,84.25,19.75,24
1980,84.25,20.25,17
1981,84.25,20.75,13
1982,84.25,21.25,22
1986,84.25,23.25,14
1987,84.25,23.75,21
2038,84.75,18.75,15
2040,84.75,19.75,14
2041,84.75,20.25,24
2042,84.75,20.75,20
2043,84.75,21.25,14
2044,84.75,21.75,21
2045,84.75,22.25,13
2048,84.75,23.75,12
2049,84.75,24.25,13
2100,85.25,19.25,15
2101,85.25,19.75,21
2102,85.25,20.25,12
2103,85.25,20.75,13
2104,85.25,21.25,16
2105,85.25,21.75,22
2106,85.25,22.25,23
2107,85.25,22.75,20
2109,85.25,23.75,11
2110,85.25,24.25,11
2165,85.75,21.25,17
2167,85.75,22.25,11
2168,85.75,22.75,14
2172,85.75,24.75,12
2226,86.25,21.25,11
2227,86.25,21.75,33
2228,86.25,22.25,14
2229,86.25,22.75,11
2234,86.25,25.25,11
2357,87.25,25.75,11
2417,87.75,25.25,12
2532,88.75,21.75,25
2536,88.75,23.75,11
2537,88.75,24.25,11
725,73.75,33.25,11
726,73.75,33.75,19
727,73.75,34.25,28
728,73.75,34.75,18
786,74.25,33.25,16
787,74.25,33.75,21
788,74.25,34.25,23
789,74.25,34.75,24
847,74.75,33.25,21
848,74.75,33.75,14
849,74.75,34.25,16
850,74.75,34.75,15
903,75.25,30.75,12
904,75.25,31.25,11
905,75.25,31.75,12
907,75.25,32.75,18
908,75.25,33.25,23
909,75.25,33.75,19
910,75.25,34.25,13
963,75.75,30.25,11
964,75.75,30.75,12
966,75.75,31.75,14
967,75.75,32.25,15
968,75.75,32.75,32
969,75.75,33.25,31
970,75.75,33.75,14
